outlet,aperol,alcoholism
nonplus,stick,get
normalise,renormalize,renormalise
observe,honour,abide by
obturate,impede,occlude
occupy,worry,invade
omit,neglect,pretermit
oppose,controvert,contradict
outflank,outdo,trump
outride,stay,ride out
overcome,get the better of,defeat
overindulge,gourmandize,binge
pee-pee,micturate,piss
penetrate,interpenetrate,diffuse
penetrate,imbue,riddle
perplex,get,puzzle
perplex,beat,pose
perturb,disquiet,trouble
predestine,foreordain,preordain
prevaricate,beat around the bush,equivocate
primp,plume,dress
prise,jimmy,pry
prognosticate,forebode,anticipate
propose,purpose,purport
proscribe,forbid,prohibit
provide,furnish,supply
provoke,chevy,chevvy
quell,squelch,quench
quiesce,quieten,hush
quieten,lull,still
rankle,fret,grate
ransack,strip,rifle
ransack,rifle,pillage
rationalise,apologise,excuse
ravish,enrapture,transport
realize,understand,realise
recite,retell,tell
reckon,see,consider
recognise,acknowledge,recognize
recognise,agnize,agnise
redden,crimson,flush
reduce,abridge,foreshorten
reduce,contract,boil down
reduce,boil down,decoct
refer,come to,bear on
regorge,spew,spue
regularise,regularize,order
represent,present,lay out
resist,hold out,withstand
restate,iterate,retell
restore,reconstruct,regenerate
restrain,encumber,cumber
resurrect,revive,rise
retire,go to bed,turn in
revive,reanimate,renovate
rollick,frolic,lark
rouse,awaken,wake
rove,swan,stray
ruminate,reflect,mull
scandalize,shock,offend
scarper,scat,run
scintillate,winkle,sparkle
seize,assume,usurp
sensify,sensitize,sensitise
severalize,differentiate,secern
slosh,slush,squelch
smatter,dabble,play around
soften,relent,cushion
spay,alter,neuter
specify,qualify,condition
spew,vomit,vomit up
spew,upchuck,honk
sphacelate,gangrene,mortify
splosh,splash,spatter
stabilize,brace,steady
starve,crave,hunger
stimulate,hasten,excite
strangle,strangulate,throttle
stupefy,pose,bewilder
stupefy,flummox,nonplus
subdue,inhibit,conquer
submit,accede,give in
substantiate,realize,realise
subvert,pervert,demoralize
subvert,deprave,misdirect
summarise,sum,sum up
surpass,travel by,pass by
survive,live,subsist
sustain,suffer,have
sweet-talk,blarney,coax
syllabize,syllabicate,syllabise
testify,attest,take the stand
thresh,thrash,thrash about
tog,clothe,enclothe
transcend,surpass,exceed
transmit,conduct,convey
typify,symbolize,symbolise
unbend,straighten,relax
understate,minimize,minimise
valuate,assess,appraise
vanish,disappear,fly
ventilate,air,vent
verbalise,verbalize,express
violate,ravish,assault
violate,dishonour,outrage
vituperate,vilify,revile
vituperate,revile,rail
vivify,revive,renovate
wander,thread,meander
weaken,damp,soften
whelm,sweep over,overcome
womanize,effeminize,effeminise
yammer,yowl,whine
yawp,bawl,whine
angled,slant,angle
apprehended,cop,apprehend
atrocious,terrible,unspeakable
beatified,tickle pink,inebriate
behind,tooshie,tush
captive,absorbed,engrossed
castrated,emasculate,castrate
checked,tally,agree
edgy,high-strung,highly strung
following,follow,be
fulfilled,meet,satisfy
halt,stop,stoppage
haunted,frequent,haunt
impulsive,driving,capricious
incriminating,inculpate,accuse
insulting,insult,affront
loaded,affluent,flush
located,site,settle
pissed,blind drunk,blotto
pliable,malleable,pliant
ploughed,plough,turn
recognised,recognise,recognize
releasing,release,relinquish
roly-poly,podgy,pudgy
scattered,break up,scatter
shelled,beat out,crush
supported,plunk for,support
troubling,inconvenience,disoblige
wandering,stray,tramp
weak,watery,washy
whacky,sappy,silly
white-haired,grizzly,hoar
now,straight off,directly
amount,number,add up
arbalist,trebuchet,trebucket
bars,block off,block up
boner,blooper,bloomer
break,break dance,break-dance
burst,split,break open
burying,immerse,swallow
colors,color,colour
commotion,disturbance,disruption
countenance,indorsement,warrant
cream,thrash,lick
desolation,devastation,bleakness
discharge,emission,expelling
examination,exam,test
favourableness,favorableness,advantageousness
forge,formulate,spurt
fund,stock,investment company
fusion,unification,coalition
gain,addition,increase
gripes,transfix,grip
interdict,proscribe,veto
inventorying,stocktaking,stock-taking
mussitation,muttering,murmur
oracle,prophesier,seer
outcry,cry,call
peddling,peddle,monger
pelf,cabbage,clams
prostitute,fancy woman,working girl
risk,put on the line,lay on the line
rout,root,rootle
selling,sell,betray
setting,typeset,set
shine,radiance,radiancy
shine,gleam,glow
slash,cut,gash
somesthesia,somaesthesia,somaesthesis
stay,hitch,stop
strike,hit,come to
summoning,summon,summons
switching,switch over,switch
talk,public lecture,talk of the town
tomato,tomato plant,lycopersicon esculentum
trailing,hang back,drop behind
try,hear,strain
turbofan,fanjet,fan-jet
upgrade,raise,climb
womanishness,effeminacy,effeminateness
canonize,saint,canonise
conceptualise,conceive,conceptualize
diminish,fall,belittle
endure,survive,last
excogitate,devise,formulate
govern,regulate,regularize
imprison,jail,jug
manoeuver,manoeuvre,direct
overdress,attire,get up
palter,tergiversate,prevaricate
quicken,invigorate,animate
summate,add together,tally
illusion,head game,magic trick
